"CODI_EQUIPAMENT","EQUIPAMENT","SECCIO","TIPUS_VIA","NOM_CARRER","NUM_CARRER_1","NUM_CARRER_2","CODI_BARRI","NUM_BARRI","CODI_DISTRICTE","NOM_DISTRICTE","CODI_POSTAL","CODI_POBLACIO","POBLACIO","LATITUD","LONGITUD","X_ETRS89","Y_ETRS89","X_ED50","Y_ED50","TELEFON_NUM","TELEFON_TIPUS","TELEFON_INFO_COM","HORARI_PERIODE_INICI","HORARI_PERIODE_FI","HORARI_DIES","HORARI_HORES_INICI","HORARI_HORES_FI","HORARI_OBSERVACIONS",
"322114546","Facultat de Ciències de la Salut i de la Vida - UPF","#","C","Doctor Aiguader","80","80","03","la Barceloneta","01","Ciutat Vella","08003","019","BARCELONA","41.383802","2.194031","432611.191","4581677.536","432703.144","4581878.468","935422801","#","","","","","","","",
"333091852","Escola Superior Politècnica *Campus de la Comunicació-Poblenou - UPF","#","C","Roc Boronat","138","138","66","el Parc i la Llacuna del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.4037","2.193572","432593.423","4583886.945","432685.375","4584087.897","935422000","#","","","","","","","",
"333091852","Escola Superior Politècnica *Campus de la Comunicació-Poblenou - UPF","#","C","Roc Boronat","138","138","66","el Parc i la Llacuna del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.4037","2.193572","432593.423","4583886.945","432685.375","4584087.897","935422449","Fax","","","","","","","",
"354173408","Escola Politècnica Superior d'Edificació de Barcelona - UPC","#","Av","Doctor Marañón","44","50","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.383756","2.112768","425816.475","4581738.76","425908.365","4581939.69","934016306","Fax","","01/01","31/12","0000011","08:30:00","20:00:00"," ",
"354173408","Escola Politècnica Superior d'Edificació de Barcelona - UPC","#","Av","Doctor Marañón","44","50","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.383756","2.112768","425816.475","4581738.76","425908.365","4581939.69","934016265","#","","01/01","31/12","0000011","08:30:00","20:00:00"," ",
"354173408","Escola Politècnica Superior d'Edificació de Barcelona - UPC","#","Av","Doctor Marañón","44","50","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.383756","2.112768","425816.475","4581738.76","425908.365","4581939.69","934016300","#","","01/01","31/12","0000011","08:30:00","20:00:00"," ",
"354174913","Col·legi de Censors Jurats de Comptes de Catalunya","Escola","C","Sor Eulàlia d'Anzizu","41","41","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.39041","2.112799","425826.649","4582477.437","425918.539","4582678.374","932803100","#","","","","","","","",
"354174913","Col·legi de Censors Jurats de Comptes de Catalunya","Escola","C","Sor Eulàlia d'Anzizu","41","41","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.39041","2.112799","425826.649","4582477.437","425918.539","4582678.374","932521501","Fax","","","","","","","",
"355134317","Universitat Internacional de Catalunya","#","C","Immaculada","22","22","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.406033","2.12324","426717.132","4584203.006","426809.03","4584403.959","932541800","#","","","","","","","",
"355134317","Universitat Internacional de Catalunya","#","C","Immaculada","22","22","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.406033","2.12324","426717.132","4584203.006","426809.03","4584403.959","932541850","Fax","","","","","","","",
"355134447","Universitat Internacional de Catalunya","Rectorat","C","Immaculada","22","22","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.406033","2.12324","426717.132","4584203.006","426809.03","4584403.959","932541850","Fax","","","","","","","",
"355134447","Universitat Internacional de Catalunya","Rectorat","C","Immaculada","22","22","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.406033","2.12324","426717.132","4584203.006","426809.03","4584403.959","932541800","#","","","","","","","",
"355142528","Universitat Oberta de Catalunya","Rectorat","Av","Tibidabo","39","43","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.415034","2.133032","427545.638","4585194.108","427637.543","4585395.071","932532300","#","","","","","","","",
"355142528","Universitat Oberta de Catalunya","Rectorat","Av","Tibidabo","39","43","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.415034","2.133032","427545.638","4585194.108","427637.543","4585395.071","934176495","Fax","","","","","","","",
"356094623","Universitat Ramon Llull","Rectorat","C","Claravall","1","3","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.411876","2.131017","427373.679","4584845.208","427465.582","4585046.168","936022249","Fax","","","","","","","",
"356094623","Universitat Ramon Llull","Rectorat","C","Claravall","1","3","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.411876","2.131017","427373.679","4584845.208","427465.582","4585046.168","936022200","#","","","","","","","",
"356094623","Universitat Ramon Llull","Rectorat","C","Claravall","1","3","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.411876","2.131017","427373.679","4584845.208","427465.582","4585046.168","902502050","Informació","","","","","","","",
"356131233","Universitat Pompeu Fabra","Rectorat","C","Mercè","12","12","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.379188","2.179645","431403.514","4581176.557","431495.456","4581377.484","935422002","Fax","","","","","","","",
"356131233","Universitat Pompeu Fabra","Rectorat","C","Mercè","12","12","02","el Barri Gòtic","01","Ciutat Vella","08002","019","BARCELONA","41.379188","2.179645","431403.514","4581176.557","431495.456","4581377.484","935422000","#","","","","","","","",
"1066143504","Institut de Matemàtica","#","G.V.","Corts Catalanes","585","585","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08007","019","BARCELONA","41.386577","2.164039","430106.423","4582009.291","430198.352","4582210.225","934035963","Fax","","","","","","","",
"1066143504","Institut de Matemàtica","#","G.V.","Corts Catalanes","585","585","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08007","019","BARCELONA","41.386577","2.164039","430106.423","4582009.291","430198.352","4582210.225","934021385","#","","","","","","","",
"1079155038","Escola Municipal de Música  Can Ponsic","#","Av","J. V. Foix","55","55","23","Sarrià","05","Sarrià-Sant Gervasi","08013","019","BARCELONA","41.396942","2.118797","426335.537","4583197.515","426427.431","4583398.459","932801131","#","","","","","","","",
"1081085606","Escola Superior de Música de Catalunya","#","C","Padilla","155","155","05","el Fort Pienc","02","Eixample","08013","019","BARCELONA","41.398772","2.185167","431885.701","4583346.373","431977.647","4583547.32","933497108","Fax","","","","","","","",
"1081085606","Escola Superior de Música de Catalunya","#","C","Padilla","155","155","05","el Fort Pienc","02","Eixample","08013","019","BARCELONA","41.398772","2.185167","431885.701","4583346.373","431977.647","4583547.32","933523011","#","","","","","","","",
"1081092719","Escola Ferran Sunyer","#","C","Viladomat","2","8","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.375936","2.163198","430024.733","4580828.618","430116.662","4581029.541","933248441","Fax","","","","","","","",
"1081092719","Escola Ferran Sunyer","#","C","Viladomat","2","8","10","Sant Antoni","02","Eixample","08015","019","BARCELONA","41.375936","2.163198","430024.733","4580828.618","430116.662","4581029.541","933248442","#","","","","","","","",
"1108125936","Facultat de Biologia - UB","Grup d'Estudi i Conservació dels Mamifers Marins","C","Baldiri Reixac","4","6","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.381869","2.116467","426123.653","4581526.141","426215.546","4581727.069","934034554","Fax","","","","","","","",
"1108125936","Facultat de Biologia - UB","Grup d'Estudi i Conservació dels Mamifers Marins","C","Baldiri Reixac","4","6","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.381869","2.116467","426123.653","4581526.141","426215.546","4581727.069","934034556","#","","","","","","","",
"1117105643","Hospital de la Santa Creu i Sant Pau","Escola Universitària d'Infermeria - UAB","C","Sant Antoni Maria Claret","167","167","35","el Guinardó","07","Horta-Guinardó","08025","019","BARCELONA","41.412416","2.175768","431114.411","4584868.552","431206.349","4585069.513","935537694","Fax","","","","","","","",
"1117105643","Hospital de la Santa Creu i Sant Pau","Escola Universitària d'Infermeria - UAB","C","Sant Antoni Maria Claret","167","167","35","el Guinardó","07","Horta-Guinardó","08025","019","BARCELONA","41.412416","2.175768","431114.411","4584868.552","431206.349","4585069.513","935537693","#","","","","","","","",
"1130210851","Institut d'Economia de Barcelona","#","C","John M. Keynes","1","11","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.386977","2.116056","426095.048","4582093.536","426186.94","4582294.47","934034646","#","","","","","","","",
"1130210851","Institut d'Economia de Barcelona","#","C","John M. Keynes","1","11","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.386977","2.116056","426095.048","4582093.536","426186.94","4582294.47","934039832","Fax","","","","","","","",
"1292104813","Institut Universitari de l'Audiovisual *Campus de la Comunicació-Poblenou","#","C","Roc Boronat","138","138","66","el Parc i la Llacuna del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.404237","2.193795","432612.617","4583946.319","432704.569","4584147.272","935422202","Fax","","","","","","","",
"1292104813","Institut Universitari de l'Audiovisual *Campus de la Comunicació-Poblenou","#","C","Roc Boronat","138","138","66","el Parc i la Llacuna del Poblenou","10","Sant Martí","08018","019","BARCELONA","41.404237","2.193795","432612.617","4583946.319","432704.569","4584147.272","935422201","#","","","","","","","",
"1299102420","Universitat Oberta de Catalunya","Departament Iberoamèrica i Formació Continuada","Rbla","Catalunya","6","6","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.387859","2.168186","430454.518","4582148.305","430546.451","4582349.24","934817272","#","","01/01","31/12","0000011","10:00:00","13:00:00"," ",
"1299102420","Universitat Oberta de Catalunya","Departament Iberoamèrica i Formació Continuada","Rbla","Catalunya","6","6","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.387859","2.168186","430454.518","4582148.305","430546.451","4582349.24","934817272","#","","01/01","31/12","0000011","15:00:00","19:00:00"," ",
"1299102420","Universitat Oberta de Catalunya","Departament Iberoamèrica i Formació Continuada","Rbla","Catalunya","6","6","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.387859","2.168186","430454.518","4582148.305","430546.451","4582349.24","933177075","Fax","","01/01","31/12","0000011","10:00:00","13:00:00"," ",
"1299102420","Universitat Oberta de Catalunya","Departament Iberoamèrica i Formació Continuada","Rbla","Catalunya","6","6","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.387859","2.168186","430454.518","4582148.305","430546.451","4582349.24","933177075","Fax","","01/01","31/12","0000011","15:00:00","19:00:00"," ",
"1330172216","Observatori del Tibet i l'Àsia Central","#","C","Lluís Solé i Sabarís","1","1","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.385492","2.119176","426354.275","4581925.982","426446.17","4582126.914","934021695","#","","","","","","","",
"1330172216","Observatori del Tibet i l'Àsia Central","#","C","Lluís Solé i Sabarís","1","1","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.385492","2.119176","426354.275","4581925.982","426446.17","4582126.914","934021398","Fax","","","","","","","",
"75990002051","Escola Professional Salesiana","#","Pg","Sant Joan Bosco","42","42","24","les Tres Torres","05","Sarrià-Sant Gervasi","08017","019","BARCELONA","41.394938","2.127836","427088.854","4582967.411","427180.755","4583168.353","932031100","#","","","","","","","",
"75990008599","Centre Educatiu IPSI","#","C","Comte Borrell","243","249","09","la Nova Esquerra de l'Eixample","02","Eixample","08029","019","BARCELONA","41.386861","2.149925","428926.735","4582052.31","429018.654","4582253.244","934449000","#","","","","","","","",
"75990014350","Escola de Música del Palau","#","C","Sant Pere Més Alt","6","6","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.387252","2.17548","431063.769","4582075.142","431155.707","4582276.077","932682510","#","","","","","","","",
"75990014350","Escola de Música del Palau","#","C","Sant Pere Més Alt","6","6","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.387252","2.17548","431063.769","4582075.142","431155.707","4582276.077","933106437","Fax","","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Aragó","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","932153932","#","(c. Aragó)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Aragó","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","934873693","Fax","(c. Pau Claris)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","934873693","Fax","(c. Pau Claris)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","932159900","#","(c. Pau Claris)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","932153932","#","(c. Aragó)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Pau Claris","131","131","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.392866","2.166816","430345.36","4582705.289","430437.291","4582906.23","934875479","Fax","(c. Aragó)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Aragó","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","934875479","Fax","(c. Aragó)","","","","","","",
"75990016466","Centre Educatiu Lestonnac","#","C","Aragó","284","284","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.392634","2.165757","430256.548","4582680.375","430348.479","4582881.315","932159900","#","(c. Pau Claris)","","","","","","",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuïc","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934224640","#","","","","","","","",
"75990021777","Centre Educatiu Josep Tous","#","C","Begur","10","20","17","Sants - Badal","03","Sants-Montjuïc","08028","019","BARCELONA","41.374985","2.129235","427183.625","4580751.094","427275.528","4580952.016","934223515","Fax","","","","","","","",
"75990022836","Escola Luthier de Música i Dansa","#","C","Balmes","53","53","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08007","019","BARCELONA","41.389444","2.162335","429967.064","4582328.953","430058.992","4582529.89","933232246","#","","","","","","","",
"75990024745","Centre d'Educació  Diaula","#","C","Ballester","45","45","27","el Putxet i el Farró","05","Sarrià-Sant Gervasi","08023","019","BARCELONA","41.407115","2.146052","428625.055","4584304.152","428716.97","4584505.107","932071782","Fax","","","","","","","",
"75990024745","Centre d'Educació  Diaula","#","C","Ballester","45","45","27","el Putxet i el Farró","05","Sarrià-Sant Gervasi","08023","019","BARCELONA","41.407115","2.146052","428625.055","4584304.152","428716.97","4584505.107","932114791","#","","","","","","","",
"75990025727","Centre Educatiu Sant Gregori","#","C","Carles Riba","11","15","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.412448","2.1252","426888.131","4584913.557","426980.03","4585114.517","932123108","#","","","","","","","",
"75990025727","Centre Educatiu Sant Gregori","#","C","Carles Riba","11","15","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08035","019","BARCELONA","41.412448","2.1252","426888.131","4584913.557","426980.03","4585114.517","932123998","#","(edifici Arimon)","","","","","","",
"75990025727","Centre Educatiu Sant Gregori","#","C","Arimon","17","17","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.404388","2.137031","427868.028","4584008.84","427959.936","4584209.792","932123108","#","","","","","","","",
"75990025727","Centre Educatiu Sant Gregori","#","C","Arimon","17","17","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.404388","2.137031","427868.028","4584008.84","427959.936","4584209.792","932123998","#","(edifici Arimon)","","","","","","",
"75990032092","Centre Educatiu FEDAC-Horta","#","C","Campoamor","49","49","43","Horta","07","Horta-Guinardó","08031","019","BARCELONA","41.434525","2.155207","429419.963","4587339.599","429511.885","4587540.582","934275496","#","","","","","","","",
"75990035579","Centre Educatiu IPSE","#","C","Casanova","175","175","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.392116","2.149766","428919.124","4582635.899","429011.042","4582836.838","934390215","Fax","","","","","","","",
"75990035579","Centre Educatiu IPSE","#","C","Londres","72","72","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.39204","2.14903","428857.531","4582627.99","428949.449","4582828.929","934390215","Fax","","","","","","","",
"75990035579","Centre Educatiu IPSE","#","C","Casanova","175","175","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.392116","2.149766","428919.124","4582635.899","429011.042","4582836.838","933215099","#","","","","","","","",
"75990035579","Centre Educatiu IPSE","#","C","Londres","72","72","08","l'Antiga Esquerra de l'Eixample","02","Eixample","08036","019","BARCELONA","41.39204","2.14903","428857.531","4582627.99","428949.449","4582828.929","933215099","#","","","","","","","",
"75990035832","Centre Educatiu Jesuïtes Casp  Sagrat Cor de Jesús","#","C","Roger de Llúria","19","19","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.390914","2.171654","430747.729","4582484.671","430839.664","4582685.61","933183704","#","","","","","","","",
"75990035832","Centre Educatiu Jesuïtes Casp  Sagrat Cor de Jesús","#","C","Casp","25","25","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.390031","2.171399","430725.468","4582386.931","430817.403","4582587.869","933183704","#","","","","","","","",
"75990035832","Centre Educatiu Jesuïtes Casp  Sagrat Cor de Jesús","#","C","Roger de Llúria","15","15","07","la Dreta de Eixample","02","Eixample","08010","019","BARCELONA","41.390745","2.171877","430766.203","4582465.794","430858.138","4582666.732","933183704","#","","","","","","","",
"75990039370","Centre Educatiu Canigó","#","C","Cister","23","23","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.411066","2.133169","427552.633","4584753.454","427644.538","4584954.413","932110217","#","","","","","","","",
"75990039370","Centre Educatiu Canigó","#","C","Cister","23","23","25","Sant Gervasi - la Bonanova","05","Sarrià-Sant Gervasi","08022","019","BARCELONA","41.411066","2.133169","427552.633","4584753.454","427644.538","4584954.413","934189846","Fax","","","","","","","",
"75990040205","Centre Educatiu Sant Ramon Nonat","#","C","Collblanc","72","72","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.375937","2.116325","426105.068","4580867.733","426196.961","4581068.655","933339972","#","","","","","","","",
"75990040207","Centre Educatiu Sant Ramon Nonat-Sagrat Cor","#","C","Collblanc","86","86","20","la Maternitat i Sant Ramon","04","Les Corts","08028","019","BARCELONA","41.375937","2.116325","426105.068","4580867.733","426196.961","4581068.655","934490570","#","","","","","","","",
"75990043873","Centre Educatiu Mary Ward","#","C","Copèrnic","55","55","26","Sant Gervasi - Galvany","05","Sarrià-Sant Gervasi","08006","019","BARCELONA","41.401324","2.141371","428227.408","4583665.085","428319.32","4583866.034","932018555","#","","","","","","","",
"75990047979","Escola Pia de Nostra Senyora","#","C","Diputació","277","277","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.391215","2.167924","430436.192","4582521.136","430528.124","4582722.075","934876038","Fax","","","","","","","",
"75990047979","Escola Pia de Nostra Senyora","#","C","Diputació","277","277","07","la Dreta de Eixample","02","Eixample","08007","019","BARCELONA","41.391215","2.167924","430436.192","4582521.136","430528.124","4582722.075","934881166","#","","","","","","","",
"75990048204","Centre Educatiu Sagrat Cor-Diputació","#","C","Diputació","326","326","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.395297","2.174303","430973.815","4582969.212","431065.752","4583170.155","932656361","#","","","","","","","",
"75990048204","Centre Educatiu Sagrat Cor-Diputació","#","C","Diputació","326","326","07","la Dreta de Eixample","02","Eixample","08009","019","BARCELONA","41.395297","2.174303","430973.815","4582969.212","431065.752","4583170.155","932657121","Fax","","","","","","","",
"75990049345","Centre Educatiu Guinardó","#","C","Doctor Valls","22","26","35","el Guinardó","07","Horta-Guinardó","08041","019","BARCELONA","41.420034","2.178917","431385.588","4585711.772","431477.528","4585912.741","935102885","Fax","","","","","","","",
"75990049345","Centre Educatiu Guinardó","#","C","Doctor Valls","22","26","35","el Guinardó","07","Horta-Guinardó","08041","019","BARCELONA","41.420034","2.178917","431385.588","4585711.772","431477.528","4585912.741","934353940","#","","","","","","","",
"75990051854","Centre Educatiu Centre Català Comercial","#","C","Escòcia","130","130","44","Vilapicina i la Torre Llobeta","08","Nou Barris","08016","019","BARCELONA","41.428812","2.176841","431221.39","4586687.967","431313.328","4586888.945","933525658","#","","","","","","","",
"75990052603","Centre Educatiu Santíssima Trinitat","#","Av","Esplugues","62","70","21","Pedralbes","04","Les Corts","08034","019","BARCELONA","41.389763","2.109029","425510.709","4582408.916","425602.596","4582609.852","932046312","#","","","","","","","",
"75990056531","Escola Tècnico-Professional Xavier","#","Av","Francesc Cambó","12","12","04","Sant Pere, Santa Caterina i la Ribera","01","Ciutat Vella","08003","019","BARCELONA","41.385854","2.177541","431234.583","4581918.296","431326.523","4582119.23","933191700","#","","","","","","","",
"75990057201","Centre Educatiu  Princesa Margarita","#","Pg","Font d'en Fargas","15","17","36","la Font d'en Fargues","07","Horta-Guinardó","08032","019","BARCELONA","41.426208","2.165862","430301.28","4586407.679","430393.21","4586608.654","934290313","#","","","","","","","",
